Date,101,104,105,106,107
1/6/2014 0:00,Albina Hafon,Henk Mies,0,0,Cecilia Morluniau
1/6/2014 12:00,Albina Hafon,Henk Mies,0,0,Cecilia Morluniau
1/7/2014 0:00,Benito Hawelon,Henk Mies,Valeria Morlun,Dylan Scozzese,Cecilia Morluniau
1/7/2014 12:00,Benito Hawelon,Henk Mies,Valeria Morlun,Dylan Scozzese,Irene Nant
1/8/2014 0:00,0,Henk Mies,Valeria Morlun,Adan Morlun,Cecilia Morluniau
1/8/2014 12:00,0,Henk Mies,Valeria Morlun,Adan Morlun,Irene Nant
1/9/2014 0:00,Benito Hawelon,Henk Mies,Valeria Morlun,Dylan Scozzese,Cecilia Morluniau
1/9/2014 12:00,Benito Hawelon,Henk Mies,Valeria Morlun,Dylan Scozzese,Irene Nant
1/10/2014 0:00,Claudio Hawelon,0,0,0,Cecilia Morluniau
1/10/2014 12:00,Claudio Hawelon,0,0,0,Irene Nant
1/13/2014 0:00,Albina Hafon,Henk Mies,0,0,Cecilia Morluniau
1/13/2014 12:00,Albina Hafon,Henk Mies,0,0,Cecilia Morluniau
1/14/2014 0:00,Benito Hawelon,Henk Mies,Valeria Morlun,Dylan Scozzese,Cecilia Morluniau
1/14/2014 12:00,Benito Hawelon,Henk Mies,Valeria Morlun,Dylan Scozzese,Cecilia Morluniau
1/15/2014 0:00,0,Henk Mies,Valeria Morlun,Adan Morlun,Cecilia Morluniau
1/15/2014 12:00,0,Henk Mies,Valeria Morlun,Adan Morlun,Irene Nant
1/16/2014 0:00,Benito Hawelon,Henk Mies,Valeria Morlun,Dylan Scozzese,Cecilia Morluniau
1/16/2014 12:00,Benito Hawelon,Henk Mies,Valeria Morlun,Dylan Scozzese,Cecilia Morluniau
1/17/2014 0:00,0,0,0,0,Cecilia Morluniau
1/17/2014 12:00,0,0,0,0,Cecilia Morluniau
